tournament_year,matches,home_rank_missing,away_rank_missing,home_rank_missing_rate,away_rank_missing_rate
1930,18,18,18,1.0,1.0
1934,17,17,17,1.0,1.0
1938,18,18,18,1.0,1.0
1950,22,22,22,1.0,1.0
1954,26,26,26,1.0,1.0
1958,35,35,35,1.0,1.0
1962,32,32,32,1.0,1.0
1966,32,32,32,1.0,1.0
1970,32,32,32,1.0,1.0
1974,38,38,38,1.0,1.0
1978,38,38,38,1.0,1.0
1982,52,52,52,1.0,1.0
1986,52,52,52,1.0,1.0
1990,52,52,52,1.0,1.0
1994,52,0,0,0.0,0.0
1998,64,1,3,0.015625,0.046875
2002,64,1,6,0.015625,0.09375
2006,64,0,0,0.0,0.0
2010,64,0,0,0.0,0.0
2014,64,0,0,0.0,0.0
2018,64,0,0,0.0,0.0
2022,64,0,0,0.0,0.0
